TestDataID1,TestDataID2,TestDataID3,Depth,Iterations,LearningRate,TrainR2,TestR2,Top1Feature,Top2Feature,Top3Feature,Top4Feature,Top5Feature,Top6Feature,Top7Feature,Top8Feature,Top9Feature,Top10Feature
0,4,14,3,100,0.05,0.916952858,0.174252951,HOMO,ATS0dv,MolWt,CT100,LabuteASA,LUMO,Kappa1,NumRotatableBonds,HeavyAtomMolWt,LogEE_A
0,4,15,3,100,0.1,0.994088335,0.617851371,HOMO,MolWt,NumRotatableBonds,CT100,HeavyAtomMolWt,MinPartialCharge,ATS0dv,MaxAbsPartialCharge,LabuteASA,TPSA
0,4,16,3,100,0.05,0.907471803,0.548163697,HOMO,ATS0dv,CT100,LUMO,HeavyAtomMolWt,MaxAbsPartialCharge,TPSA,LabuteASA,LogEE_A,NumRotatableBonds
0,4,17,3,100,0.05,0.91321553,0.618535595,ATS0dv,CT100,MaxAbsPartialCharge,HOMO,MolWt,LabuteASA,SpAbs_A,NumRotatableBonds,Eads100,MinPartialCharge
0,4,18,3,100,0.1,0.994635479,0.493890365,HOMO,MolWt,CT100,HeavyAtomMolWt,MaxAbsPartialCharge,Kappa1,NumRotatableBonds,ATS0dv,Eads100,LabuteASA
0,4,19,3,100,0.05,0.91117052,0.019449464,HOMO,LUMO,CT100,ATS0dv,HeavyAtomMolWt,Kappa1,MaxAbsPartialCharge,NumRotatableBonds,LabuteASA,LogEE_A
0,4,20,3,300,0.01,0.801476082,-1.870073261,HOMO,ATS0dv,CT100,NumRotatableBonds,LUMO,MolWt,MaxAbsPartialCharge,MinPartialCharge,Kappa1,Eads100
0,4,21,3,100,0.1,0.996053843,0.283353385,ATS0dv,HOMO,LUMO,MaxAbsPartialCharge,CT100,TPSA,MolWt,HeavyAtomMolWt,FractionCSP3,Eads100
0,4,22,3,100,0.05,0.914362666,0.565319307,HOMO,ATS0dv,CT100,LUMO,HeavyAtomMolWt,NumRotatableBonds,LabuteASA,TPSA,Eads100,SpAbs_A
0,4,23,3,100,0.05,0.908781826,0.401069059,HOMO,ATS0dv,CT100,NumRotatableBonds,MolWt,MaxAbsPartialCharge,LUMO,TPSA,LabuteASA,HeavyAtomMolWt
