TestDataID1,TestDataID2,TestDataID3,MaxDepth,NEstimators,LearningRate,TrainR2,TestR2,Top1Feature,Top2Feature,Top3Feature,Top4Feature,Top5Feature,Top6Feature,Top7Feature,Top8Feature,Top9Feature,Top10Feature
15,16,18,3,200,0.05,0.998161757,-0.409230306,SlogP_VSA1,ATS0dv,HOMO,SpAbs_A,LUMO,FractionCSP3,MolWt,NumRotatableBonds,HeavyAtomMolWt,PEOE_VSA1
15,16,19,3,200,0.05,0.997649562,0.606501439,SlogP_VSA1,HOMO,ATS0dv,NumRotatableBonds,SpAbs_A,MolWt,LUMO,FractionCSP3,LogEE_A,BalabanJ
15,16,20,5,100,0.05,0.940756836,0.483486583,HOMO,ATS0dv,NumRotatableBonds,SlogP_VSA1,MolWt,LUMO,Chi0,Kappa1,PEOE_VSA1,TPSA
15,16,21,7,100,0.1,0.999398185,-31.18775021,ATS0dv,SlogP_VSA1,HOMO,PEOE_VSA1,SpAbs_A,LUMO,MolWt,Kappa1,Eads100,TPSA
15,16,22,3,300,0.05,0.999921411,-0.780230001,ATS0dv,NumRotatableBonds,HOMO,SlogP_VSA1,SpAbs_A,MolWt,PEOE_VSA1,Kappa1,FractionCSP3,LogEE_A
15,16,23,7,300,0.05,0.999993891,0.40883074,ATS0dv,SlogP_VSA1,HOMO,NumRotatableBonds,MolWt,SpAbs_A,PEOE_VSA1,BalabanJ,Kappa1,LogEE_A
5,15,24,3,200,0.1,0.999996592,0.94039794,SlogP_VSA1,NumRotatableBonds,HOMO,ATS0dv,MolWt,SpAbs_A,Kappa1,LabuteASA,LUMO,Eads100
15,16,25,3,100,0.05,0.93604343,0.061668021,ATS0dv,FractionCSP3,HOMO,MolWt,HeavyAtomMolWt,SpAbs_A,Kappa1,LogEE_A,NumRotatableBonds,TPSA
15,16,26,3,200,0.05,0.997450788,-0.778958711,ATS0dv,HOMO,SpAbs_A,NumRotatableBonds,SlogP_VSA1,BalabanJ,MolWt,PEOE_VSA1,LogEE_A,Kappa1
15,26,27,5,200,0.1,0.999999782,0.974867558,ATS0dv,SlogP_VSA1,NumRotatableBonds,HOMO,Kappa1,SpAbs_A,LogEE_A,LabuteASA,PEOE_VSA1,LUMO
15,16,28,3,200,0.05,0.998109867,0.612707236,ATS0dv,HOMO,SlogP_VSA1,SpAbs_A,NumRotatableBonds,MolWt,Kappa1,LogEE_A,BalabanJ,PEOE_VSA1
15,16,29,7,100,0.1,0.999567588,0.283554868,ATS0dv,SlogP_VSA1,HOMO,Kappa1,SpAbs_A,Eads100,MolWt,NumRotatableBonds,LogEE_A,LabuteASA
15,17,18,5,200,0.1,0.999999731,0.040157865,SlogP_VSA1,ATS0dv,HOMO,SpAbs_A,Kappa1,PEOE_VSA1,NumRotatableBonds,MolWt,LogEE_A,BalabanJ
15,17,19,3,300,0.1,0.999999984,0.260151011,Kappa1,ATS0dv,SpAbs_A,HOMO,SlogP_VSA1,NumRotatableBonds,LogEE_A,PEOE_VSA1,MolWt,Chi0
15,17,20,3,100,0.05,0.921949197,0.478525826,FractionCSP3,ATS0dv,HOMO,Kappa1,NumRotatableBonds,MolWt,Chi0,TPSA,SlogP_VSA1,MaxAbsPartialCharge
15,17,21,5,100,0.1,0.999467903,-40.76100925,ATS0dv,SlogP_VSA1,HOMO,SpAbs_A,FractionCSP3,NumRotatableBonds,TPSA,LUMO,PEOE_VSA1,Kappa1
15,17,22,3,200,0.1,0.999995942,-5.937249567,SlogP_VSA1,ATS0dv,HOMO,SpAbs_A,NumRotatableBonds,TPSA,HeavyAtomMolWt,LogEE_A,LUMO,LabuteASA
15,17,23,3,200,0.05,0.998361941,-0.081631612,ATS0dv,HOMO,NumRotatableBonds,SpAbs_A,SlogP_VSA1,FractionCSP3,Kappa1,BalabanJ,PEOE_VSA1,LogEE_A
