TestDataID1,TestDataID2,TestDataID3,MaxDepth,NEstimators,MinSamplesSplit,TrainR2,TestR2,Top1Feature,Top2Feature,Top3Feature,Top4Feature,Top5Feature,Top6Feature,Top7Feature,Top8Feature,Top9Feature,Top10Feature
6,10,25,7,100,5,0.820204323,-4.866778108,LUMO,HOMO,ATS0dv,BalabanJ,CT100,Eads100,MolWt,Kappa1,NumRotatableBonds,MinPartialCharge
6,10,26,7,100,2,0.863712849,0.659973769,LUMO,HOMO,ATS0dv,CT100,BalabanJ,Eads100,MolWt,MinPartialCharge,TPSA,Kappa1
6,10,27,5,300,2,0.871279834,-0.278919193,LUMO,ATS0dv,HOMO,CT100,Eads100,BalabanJ,MaxAbsPartialCharge,Kappa1,MolWt,NumRotatableBonds
6,10,28,7,200,2,0.883043669,-1.442888263,LUMO,HOMO,ATS0dv,CT100,BalabanJ,Eads100,Kappa1,MaxAbsPartialCharge,MolWt,MinPartialCharge
6,10,29,7,100,2,0.876488375,0.101242362,LUMO,HOMO,ATS0dv,CT100,Eads100,BalabanJ,MinPartialCharge,MaxAbsPartialCharge,Kappa1,LabuteASA
6,11,12,7,100,2,0.880939192,0.284735102,LUMO,HOMO,ATS0dv,CT100,BalabanJ,MaxAbsPartialCharge,MolWt,MinPartialCharge,Eads100,LabuteASA
6,11,13,5,100,2,0.865750087,0.739250541,LUMO,HOMO,ATS0dv,CT100,MolWt,BalabanJ,Eads100,MinPartialCharge,HeavyAtomMolWt,LabuteASA
6,11,14,5,200,2,0.871905511,0.279528699,LUMO,HOMO,ATS0dv,CT100,BalabanJ,MolWt,MaxAbsPartialCharge,Eads100,Kappa1,MinPartialCharge
6,11,15,5,200,2,0.872098179,-0.166467527,HOMO,LUMO,ATS0dv,CT100,BalabanJ,MolWt,Eads100,MaxAbsPartialCharge,Kappa1,MinPartialCharge
6,11,16,5,300,2,0.871066576,0.260973883,HOMO,LUMO,ATS0dv,CT100,BalabanJ,MolWt,Eads100,MaxAbsPartialCharge,Kappa1,MinPartialCharge
6,11,17,7,300,2,0.874942565,-0.027500614,LUMO,HOMO,ATS0dv,MaxAbsPartialCharge,CT100,BalabanJ,MinPartialCharge,MolWt,Eads100,NumRotatableBonds
6,11,18,7,100,10,0.72916323,0.383026286,LUMO,HOMO,ATS0dv,CT100,Eads100,MolWt,MinPartialCharge,Kappa1,HeavyAtomMolWt,LabuteASA
6,11,19,5,200,2,0.877539454,0.061907556,HOMO,LUMO,ATS0dv,CT100,BalabanJ,Eads100,MaxAbsPartialCharge,MinPartialCharge,MolWt,NumRotatableBonds
6,11,20,7,300,2,0.886828833,0.022083899,HOMO,LUMO,ATS0dv,NumRotatableBonds,MinPartialCharge,MaxAbsPartialCharge,CT100,Eads100,MolWt,Kappa1
6,11,21,3,100,10,0.784030341,-4.803362981,LUMO,ATS0dv,HOMO,Eads100,MaxAbsPartialCharge,CT100,TPSA,MolWt,Kappa1,MinPartialCharge
6,11,22,7,100,2,0.867036998,0.15307782,HOMO,LUMO,CT100,ATS0dv,Eads100,BalabanJ,Kappa1,MinPartialCharge,NumRotatableBonds,MolWt
6,11,23,5,200,2,0.872492836,0.387968378,LUMO,HOMO,ATS0dv,CT100,Eads100,MolWt,BalabanJ,MinPartialCharge,MaxAbsPartialCharge,Kappa1
6,11,24,7,200,2,0.878988469,0.55018426,HOMO,LUMO,CT100,ATS0dv,Eads100,MaxAbsPartialCharge,MinPartialCharge,MolWt,Kappa1,BalabanJ
6,11,25,7,300,2,0.872494533,0.442603812,HOMO,LUMO,ATS0dv,CT100,BalabanJ,MinPartialCharge,MaxAbsPartialCharge,NumRotatableBonds,Eads100,MolWt
6,11,26,7,200,2,0.874706377,0.239649462,HOMO,LUMO,ATS0dv,CT100,MaxAbsPartialCharge,BalabanJ,Eads100,MinPartialCharge,MolWt,Kappa1
6,11,27,5,300,2,0.870603488,0.520868665,LUMO,HOMO,ATS0dv,CT100,MaxAbsPartialCharge,BalabanJ,Eads100,NumRotatableBonds,MolWt,MinPartialCharge
6,11,28,7,200,2,0.876630119,0.539810575,LUMO,HOMO,ATS0dv,CT100,Eads100,BalabanJ,MaxAbsPartialCharge,MinPartialCharge,MolWt,Kappa1
6,11,29,7,100,2,0.874744204,0.677588608,LUMO,HOMO,ATS0dv,CT100,Eads100,BalabanJ,NumRotatableBonds,MaxAbsPartialCharge,MinPartialCharge,Kappa1
6,12,13,3,100,5,0.780394089,-2.187567959,LUMO,HOMO,ATS0dv,MolWt,CT100,BalabanJ,MaxAbsPartialCharge,HeavyAtomMolWt,Eads100,LabuteASA
6,12,14,7,100,2,0.876998634,-28.22482524,LUMO,HOMO,ATS0dv,CT100,BalabanJ,MolWt,MinPartialCharge,Eads100,MaxAbsPartialCharge,HeavyAtomMolWt
6,12,15,5,100,2,0.870759712,0.636292331,LUMO,HOMO,ATS0dv,CT100,BalabanJ,MolWt,MinPartialCharge,MaxAbsPartialCharge,HeavyAtomMolWt,Eads100
6,12,16,5,100,5,0.834579222,0.162472642,LUMO,HOMO,ATS0dv,CT100,MolWt,BalabanJ,MaxAbsPartialCharge,Eads100,TPSA,HeavyAtomMolWt
6,12,17,3,300,2,0.817675288,0.299692278,LUMO,HOMO,ATS0dv,MaxAbsPartialCharge,CT100,MolWt,BalabanJ,MinPartialCharge,TPSA,NumRotatableBonds
6,12,18,5,100,2,0.868975583,-0.236697924,LUMO,HOMO,ATS0dv,CT100,MolWt,BalabanJ,Eads100,MinPartialCharge,MaxAbsPartialCharge,HeavyAtomMolWt
6,12,19,5,100,2,0.880734983,-38.18375947,LUMO,HOMO,ATS0dv,CT100,BalabanJ,Eads100,MolWt,MinPartialCharge,LabuteASA,MaxAbsPartialCharge
6,12,20,3,300,10,0.753539085,-0.879915073,HOMO,ATS0dv,LUMO,NumRotatableBonds,MaxAbsPartialCharge,MolWt,MinPartialCharge,Eads100,TPSA,Kappa1
6,12,21,3,100,10,0.785238911,-5.436481064,LUMO,ATS0dv,HOMO,MaxAbsPartialCharge,Eads100,TPSA,MolWt,MinPartialCharge,Kappa1,CT100
6,12,22,5,100,2,0.864758853,0.475608652,LUMO,HOMO,ATS0dv,CT100,Eads100,MolWt,Kappa1,BalabanJ,MaxAbsPartialCharge,Chi0
6,12,23,5,100,2,0.868442477,-7.167136389,LUMO,HOMO,ATS0dv,CT100,Eads100,MolWt,BalabanJ,MaxAbsPartialCharge,Chi0,NumRotatableBonds
6,12,24,5,300,5,0.826633442,-0.360267448,HOMO,LUMO,ATS0dv,CT100,MaxAbsPartialCharge,MolWt,Eads100,MinPartialCharge,BalabanJ,HeavyAtomMolWt
6,12,25,7,100,2,0.874764868,-33.48669701,LUMO,HOMO,ATS0dv,CT100,BalabanJ,MolWt,NumRotatableBonds,MaxAbsPartialCharge,Chi0,Eads100
6,12,26,3,100,5,0.77769464,0.441371887,LUMO,HOMO,ATS0dv,CT100,NumRotatableBonds,MolWt,Eads100,MaxAbsPartialCharge,LabuteASA,Chi0
6,12,27,5,300,5,0.826746196,-2.28393268,ATS0dv,LUMO,HOMO,NumRotatableBonds,BalabanJ,MaxAbsPartialCharge,CT100,Eads100,MinPartialCharge,MolWt
6,12,28,5,200,5,0.82853203,-2.699955479,LUMO,HOMO,ATS0dv,CT100,MolWt,MaxAbsPartialCharge,Eads100,BalabanJ,MinPartialCharge,Kappa1
6,12,29,5,100,10,0.714908217,-9.517097237,LUMO,HOMO,ATS0dv,CT100,Eads100,NumRotatableBonds,MaxAbsPartialCharge,Kappa1,MinPartialCharge,LabuteASA
6,13,14,7,300,5,0.835607267,-1.388265428,LUMO,HOMO,ATS0dv,MolWt,CT100,BalabanJ,MaxAbsPartialCharge,Eads100,NumRotatableBonds,MinPartialCharge
6,13,15,7,200,5,0.833032984,0.850248572,HOMO,LUMO,ATS0dv,MolWt,CT100,BalabanJ,MaxAbsPartialCharge,Eads100,HeavyAtomMolWt,Kappa1
6,13,16,5,200,5,0.830464868,0.785866913,LUMO,HOMO,ATS0dv,MolWt,CT100,Eads100,BalabanJ,MaxAbsPartialCharge,HeavyAtomMolWt,MinPartialCharge
6,13,17,3,300,5,0.777064077,0.584626669,LUMO,HOMO,ATS0dv,MaxAbsPartialCharge,MolWt,MinPartialCharge,CT100,Eads100,TPSA,BalabanJ
6,13,18,5,100,5,0.828710713,0.758127506,LUMO,HOMO,ATS0dv,MolWt,CT100,Eads100,BalabanJ,MaxAbsPartialCharge,MinPartialCharge,HeavyAtomMolWt
